Date,Year,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Species ,Age_clean
2017-12-21,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,"Minor injury to thigh, PROVOKED INCIDENT",N,JUVENILE NURSE SHARK,24.0
2017-09-10,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,Minor injuries,N,UNKNOW,28.0
2017-07-27,2017.0,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,Foot & ankle injured,N,UNKNOW,28.0
2017-06-18,2017.0,Unprovoked,REUNION,Unknow,Roches Noire,Body boarding,M,"No injury, shark bit surfboard",N,"BULL SHARK, 2M",34.0
2017-06-14,2017.0,Unprovoked,BAHAMAS,Unknow,Unknow,Feeding sharks,F,Fingernail pulled off,N,UNKNOW,28.0
2017-05-28,2017.0,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,Lacerations to right arm,N,TIGER SHARK,28.0
2017-03-19,2017.0,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,Minor,N,UNKNOW,30.0
2016-08-06,2016.0,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,"No inury, shark & board collided",N,"TIGER SHARK, 10'",21.0
2016-07-24,2016.0,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,Lacerations to left leg,N,UNKNOW,29.0
2015-11-20,2015.0,Unprovoked,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",Snorkeling,M,Lacerations to left calf,N,GALAPAGOS SHARK,55.0
2015-08-22,2015.0,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,Severe laceration to left buttock & thigh,N,UNKNOW,38.0
2015-07-06,2015.0,Invalid,FRENCH POLYNESIA,Bora Bora,Unknow,Swimming,M,Parallel lacerations to torso inconsistent with shark bite,UNKNOWN,NO SHARK INVOLVEMENT,28.0
2015-06-13,2015.0,Unprovoked,USA,California,Off San Diego,Surfing,F,Severe laceration to leg,N,MAKO SHARK,28.0
2015-04-13,2015.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,Lacerations to shoulder and left bicep,N,"BLUE SHARK, 8 TO 9 FEET",48.0
2015-03-16,2015.0,Unprovoked,FRENCH POLYNESIA,Bora Bora,Anau,Hand feeding sharks,M,Hand bitten,N,BLACKTIP SHARK,9.0
2015-01-19,2015.0,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,Board snapped in two,UNKNOWN,SHARK INVOLVEMENT NOT CONFIRMED,28.0
2014-09-06,2014.0,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing,M,Leg bitten,N,BULL SHARK,43.0
2014-04-12,2014.0,Watercraft,SOUTH AFRICA,Unknow,Unknow,Shark watching,M,"No injury to occupants, shark bit pontoon",N,WHITE SHARK,28.0
2014-04-04,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor puncture wounds to lower left leg,N,UNKNOW,28.0
2014-03-29,2014.0,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,M,Shark bites may have been post mortem,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH NOT CONFIRMED,38.0
2013-10-26,2013.0,Unprovoked,REUNION,d’Étang-Salé,Ravine Mula,Body boarding,M,Right leg severed,N,THOUGHT TO INVOLVE A BULL SHARK,24.0
2013-09-29,2013.0,Unprovoked,ISRAEL,Southern District,Ashdod,Diving,M,Hand bitten,N,UNKNOW,27.0
2013-09-02,2013.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,Shoulder bitten,N,UNKNOW,17.0
2013-02-21,2013.0,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Surfing,M,"No injury, shark bit rail of foam board",N,REEF SHARK?,28.0
2013-01-16,2013.0,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,M,Left forearm bitten,N,"TIGER SHARK, 15'",43.0
2012-11-30,2012.0,Unprovoked,USA,Hawaii,"Kihei, Maui",Snorkeling,M,Lacerations to thigh & lower left leg,N,"TIGER SHARK, 10'",61.0
2012-10-30,2012.0,Unprovoked,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,Multiple lacerations to torso,N,WHITE SHARK,25.0
2012-10-18,2012.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Minor bite to ankle,N,UNKNOW,24.0
2012-08-08,2012.0,Unprovoked,USA,Florida,Key Largo,Free diving,M,Lacerations to little finger of left hand,N,"LEMON SHARK, 4' TO 5'",56.0
2012-07-31,2012.0,Unprovoked,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,"No injury, surfer knocked off board when shark struck surfboard",N,UNKNOW,17.0
2012-06-02,2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,Severe laceration to foot,N,UNKNOW,25.0
2012-01-15,2012.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,FATAL,Y,THOUGHT TO INVOLVE A BULL SHARK,25.0
2011-10-09,2011.0,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Swimming,M,FATAL,Y,UNKNOW,64.0
2011-09-28,2011.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Clovely Beach,Swimming,M,"Right leg severed, left leg lacerated",N,WHITE SHARK,43.0
2011-08-01,2011.0,Unprovoked,SEYCHELLES,Praslin,Anse Lazio,Diving,M,FATAL,Y,UNKNOW,36.0
2011-06-15,2011.0,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,Boogie Boarding,M,FATAL,Y,UNKNOW,31.0
2011-06-14,2011.0,Watercraft,UNITED KINGDOM,Cornwall,St. Ives,Fishing,M,"No injury, shark slammed into boat",N,"OCEANIC WHITETIP SHARK, 7'",28.0
2011-05-22,2011.0,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,F,"No injury, board bitten",N,TIGER SHARK,28.0
2010-12-03,2010.0,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,Lacerations to right hand,N,UNKNOW,28.0
2010-10-09,2010.0,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,Foot bitten,N,"BULL SHARK, 1.4M",22.0
2010-09-06,2010.0,Unprovoked,TONGA,Ha'api,Unknow,Swimming /  Whale Watching,M,Puncture wounds to right foot,N,UNKNOW,24.0
2010-08-18,2010.0,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,Minor injuries to foot,N,UNKNOW,10.0
2010-05-18,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Rescuing,F,Minor laceration to leg,N,20 TO 30KG SHARK,58.0
2010-01-22,2010.0,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,Laceration to bottom of foot,N,UNKNOW,54.0
2009-11-16,2009.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,Foot bitten,N,UNKNOW,22.0
2009-10-17,2009.0,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium,Diving,M,15-20 puncture wounds to arm by captive shark  PROVOKED INCIDENT,N,ANGEL SHARK,23.0
2009-04-28,2009.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Surfing,F,Multiple lacerations to right foot & ankle,N,UNKNOW,28.0
2009-01-26,2009.0,Invalid,BRAZIL,Unknow,Praia do Olho d'Aqua,Surfing,M,Probable drowning with post-mortem bites,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,17.0
2008-12-27,2008.0,Watercraft,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",Kayaking,M,"No injury, shark struck kayak, catapulting him into the water",N,"WHITE SHARK, 4M TO 5M",29.0
2008-06-26,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor laceration to foot,N,UNKNOW,29.0
2008-01-10,2008.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Left foot bitten,N,A SMALL SHARK,20.0
2007-10-06,2007.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Severe lacerations to right hand,N,"BLACKTIP SHARK, 5'",16.0
2007-09-03,2007.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,F,Tiny punctures to arm,N,18 TO 24 SHARK,12.0
2007-08-15,2007.0,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,M,Puncture wounds to torso,N,POSSIBLY A 6' BULL SHARK,20.0
2007-07-10,2007.0,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,F,"Lacerations to thumb, ring and pinky fingers of right hand",N,"BULL SHARK, 5'",48.0
2007-04-22,2007.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,M,Left foot bitten,N,BLACKTIP OR SPINNER SHARK,12.0
2007-03-22,2007.0,Unprovoked,YEMEN,Muhafazat Hadramawt,Ras-Alkalb,Murder,M,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,UNKNOW,28.0
2007-01-25,2007.0,Watercraft,USA,Florida,100 miles off Ft. Myers Beach,Shrimping,M,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,14' SHARK,28.0
2006-09-16,2006.0,Unprovoked,USA,North Carolina,Onslow Beach,Surfing,M,Laceration to left thigh,N,UNKNOW,16.0
2006-07-10,2006.0,Unprovoked,BRAZIL,Pernambuco,Body recovered at Goiana,Surfing,M,FATAL,Y,BULL OR TIGER SHARK,28.0
2005-09-23,2005.0,Unprovoked,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",Surfing,M,No injury,N,BRONZE WHALER SHARK,44.0
2005-04-06,2005.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,F,Left calf injured,N,SMALL HAMMERHEAD SHARK,28.0
2005-03-25,2005.0,Unprovoked,VENEZUELA,Unknow,Punta Caracas,Surfing,M,Right leg bitten,N,UNKNOW,28.0
2004-11-15,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,FATAL,Y,6 M [20'] WHITE SHARK,77.0
2004-07-15,2004.0,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,Suffered broken ribs when the shark's tail fin slammed into his chest,N,"LONGFIN MAKO SHARK, 3.5 M [11.5'], 350-KG [772-LB]",51.0
2004-03-06,2004.0,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Spearfishing,M,Shin & calf bitten,N,"BRONZE WHALER SHARK, 1.5 M [5']",47.0
2003-11-06,2003.0,Unprovoked,EGYPT,Sinai Peninsula,"Sha’ab Mahmud, Ras Mohamed Park",Snorkeling,M,Hand/elbow injured,N,2.5 OCEANIC WHITETIP SHARK,28.0
2003-11-01,2003.0,Provoked,PANAMA,Pearl Islands,Unknow,Spearfishing,M,Left forearm bitten PROVOKED INCIDENT,N,"NURSE SHARK, 60 CM TO 90 CM [2' TO 3']",28.0
2003-07-20,2003.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Laceration to little finger of  right hand,N,UNKNOW,18.0
2003-07-10,2003.0,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,Spearfishing,M,Right thigh bitten,N,UNIDENTIFIED SPECIES,58.0
2003-04-23,2003.0,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,Right hand lacerated,N,UNKNOW,7.0
2002-11-28,2002.0,Unprovoked,MICRONESIA,Caroline Islands,"Pision Reef, Truk",Scuba diving,M,Minor injury to right calf,N,BLACKTIP SHARK,28.0
2002-05-13,2002.0,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,Laceration to arm.,N,2.1 M TO 2.4 M [7' TO 8'] SHARK,31.0
2002-04-12,2002.0,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",Swimming,M,Foot bitten,N,UNKNOW,45.0
2001-09-16,2001.0,Invalid,USA,Florida,"2 miles off Pompano Beach, Broward County",Wreck / Technical diving,M,FATAL or drowning & scavenging,Y,QUESTIONABLE INCIDENT - SHARK BITE MAY HAVE PRECIPITATED DROWNING,42.0
2001-09-13,2001.0,Provoked,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,Head bitten by captive shark PROVOKED INCIDENT,N,12' SANDTIGER SHARK,28.0
2001-08-19,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,Lacerations to lower leg,N,UNKNOW,17.0
2001-07-25,2001.0,Unprovoked,USA,Florida,"Taverniier, Monroe County",Surfing,M,Minor injury,N,UNKNOW,28.0
2001-04-13,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Right foot & ankle lacerated,N,POSSIBLY A JUVENILE BLACKTIP OR SPINNER SHARK,12.0
2001-04-11,2001.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor cuts on right heel & foot,N,POSSIBLY A JUVENILE BLACKTIP OR SPINNER SHARK,19.0
2000-12-11,2000.0,Watercraft,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing for whiting,M,No injury to occupants,N,"WHITE SHARK, 4.5 M [14'9]",28.0
2000-06-02,2000.0,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,Right forearm lacerated,N,UNKNOW,13.0
2000-04-14,2000.0,Unprovoked,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,M,Left foot lacerated,N,UNKNOW,34.0
1999-12-06,1999.0,Invalid,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Spearfishing,M,"Lateral right thigh bitten. Thought to involve a 1.2 to 1.5 m tubarão da gralha preta -  a blacktip shark, C. limbatus",N,SHARK INVOLVEMENT NOT CONFIRMED,39.0
1999-09-24,1999.0,Watercraft,ITALY,Adriatic Sea,San Benedetto,Fishing,M,No Injury to occupants,N,SAID TO INVOLVE A 7 M [23'] WHITE SHARK,28.0
1998-09-27,1998.0,Unprovoked,USA,Florida,"The Rocks, Hutchinson Island, Martin County",Surfing,M,Puncture wounds to leg,N,UNKNOW,6.0
1998-07-26,1998.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Lacerations to left foot,N,UNKNOW,28.0
1998-06-28,1998.0,Unprovoked,AUSTRALIA,South Australia,South Neptune Island,Free diving for abalone,M,"FATAL, left thigh and lower leg severely injured",Y,THOUGHT TO INVOLVE A 5.5 M WHITE SHARK NAMED KONG,26.0
1998-05-25,1998.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,4 lacerations on the sole of his right foot,N,"LEMON SHARK, 1.5 M [5'], IDENTIFIED  BY THE SURFER",40.0
1997-10-04,1997.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Swimming,F,Laceration & 3 puncture wounds to anterior right thigh,N,UNKNOW,14.0
1997-09-16,1997.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,FATAL,Y,UNKNOW,20.0
1997-08-11,1997.0,Unprovoked,EGYPT,Red Sea,Safaga,Fishing,M,FATAL,Y,THOUGHT TO INVOLVE AN OCEANIC WHITETIP SHARK OR A WHITE SHARK,16.0
1997-08-02,1997.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,Top of left foot bitten,N,JUVENILE SHARK,17.0
1996-09-02,1996.0,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Sitting on surfboard,M,Small lacerations on left foot,N,UNKNOW,28.0
1995-05-26,1995.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,Left foot bitten,N,POSSIBLY A BULL SHARK,15.0
1995-03-11,1995.0,Unprovoked,AUSTRALIA,South Australia,Cactus Beach,Surfing,M,Left arm lacerated,N,"BRONZE WHALER SHARK, 2 M",35.0
1994-07-08,1994.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,M,Survived,N,UNKNOW,28.0
1994-02-19,1994.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,Left foot bitten,N,1.2 M [4'] SHARK,23.0
1993-11-12,1993.0,Unprovoked,USA,Hawaii,"Horners, Wailua, Kaua'i","Surfing, paddling shorewards",M,Left leg severely bitten,N,UNKNOW,28.0
1990-11-03,1990.0,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Scuba diving (but on surface),F,Leg bitten,N,4 M TO 5 M [13' TO 16.5'] WHITE SHARK,28.0
1990-05-10,1990.0,Unprovoked,AUSTRALIA,Queensland,Outer Barrier Reef near Port Douglas,"Snorkeling, possibly holding a fish",M,Lacerations,N,2 M HAMMERHEAD,30.0
1988-01-06,1988.0,Provoked,SOUTH AFRICA,Western Cape Province,Struisbaai,Attempting to lasso shark's tail,M,Foot lacerated by hooked shark PROVOKED INCIDENT,N,1.5 M COPPER SHARK,33.0
1987-12-13,1987.0,Invalid,AUSTRALIA,New South Wales,Shoalhaven,Surfing,F,"Remains recovered from 4 m, 420-kg, caught 13-Dec-1987k",UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,16.0
1986-12-11,1986.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Forearm bitten,N,1.8 M TO 2.1 M [6' TO 7'] SPINNER OR BLACKTIP SHARK,40.0
1986-04-01,1986.0,Unprovoked,SPAIN,Catalonia,Lloret-de-Mar,Diving,M,Abrasions,N,2 M SHARK,28.0
1985-10-22,1985.0,Unprovoked,USA,California,"Point Conception, Santa Barbara County",Diving for abalone (Hookah),M,Minor injury to foot & ankle,N,2 M TO 2.5 M [6.75'  TO 8.25'] SIXGILL OR SEVENGILL SHARK,46.0
1984-07-24,1984.0,Unprovoked,USA,Texas,South Padre Island,Swimming,F,Legs severely lacerated,N,1.2 M [4'] SHARK,18.0
1984-03-01,1984.0,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,Surfing,M,No details,UNKNOWN,UNKNOW,28.0
1982-07-24,1982.0,Unprovoked,USA,California,"Point Buchon, San Luis Obispo County",Paddle Boarding,M,"No Injury, board bitten",N,4.5 M TO 5.5 M [14.7' TO 18'] WHITE SHARK,26.0
1982-06-29,1982.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,Surfing,M,FATAL,Y,"2.4 M [8'] WHITE SHARK, SPECIES IDENTITY CONFIRMED BY WITNESSES & TOOTH PATTERN IN SURFBOARD",27.0
1981-03-25,1981.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Standing / Wading,M,"Lacerations on calf, ankle & heel",N,"1.2 M TO 1.5 M [4' TO 5'] BULL, SANDBAR OR DUSKY SHARK",19.0
1979-05-05,1979.0,Provoked,SOUTH AFRICA,Western Cape Province,"Hangklip, False Bay",Spearfishing,M,Shark rammed diver after he shot it in the head  PROVOKED INCIDENT,N,"WHITE SHARK, 2.5 M [8.25']",25.0
1978-10-21,1978.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,"Fishing camp, St. Lucia Estuary",Fishing,M,FATAL or scavenging by 3 m tiger shark (may have involved foul play),UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,28.0
1978-07-19,1978.0,Provoked,USA,California,"Newport Beach, Orange County",Fishing,M,Laceration to leg by hooked shark  PROVOKED INCIDENT,N,UNKNOW,27.0
1977-12-01,1977.0,Watercraft,SOUTH AFRICA,Western Cape Province,"Macassar, False Bay",Fishing for bottom fish,M,No injury to occupant: shark bit boat's port chine,N,3 M [10'] WHITE SHARK (TOOTH  RECOVERED FROM BOAT),28.0
1975-07-30,1975.0,Sea Disaster,USA,Oregon,Unknow,Sea disaster,F,"FATAL, arms & legs bitten",Y,UNKNOW,62.0
1974-01-13,1974.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Sitting,M,2 minor lacerations in foot,N,"RAGGEDTOOTH SHARK, 1 M",42.0
1973-03-01,1973.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Spearfishing,M,Hip bruised,N,"2 M SHARK, POSSIBLY A DUSKY OR BLACKTIP SHARK",26.0
1972-10-21,1972.0,Unprovoked,AUSTRALIA,Queensland,"Stevens Reef, 70 miles from Mackay",Spearfishing,M,Right arm bitten,N,UNKNOW,24.0
1971-04-16,1971.0,Unprovoked,KENYA,Coast Province,Watamu,Swimming,M,Right foot bitten,N,2 M [6'9] SHARK,16.0
1971-04-06,1971.0,Unprovoked,MEXICO,Guerrero,"Copacabana Beach, Acapulco",Surfing,M,"FATAL, left thigh bitten",Y,UNKNOW,19.0
1970-12-03,1970.0,Sea Disaster,USA,Hawaii,Kauai,Shipwreck,M,Right thigh lacerated,N,UNKNOW,41.0
1970-03-23,1970.0,Unprovoked,USA,Florida,Manatee County,Wading,M,Foot & calf lacerated,N,UNKNOW,19.0
1969-11-11,1969.0,Unprovoked,USA,Hawaii,"Barber’s Point, O'ahu",Scuba diving for lobsters,M,"Abrasions to upper leg, laceration to ankle, scuba tank bitten",N,>2.4 M [8'] SHARK,28.0
1969-03-25,1969.0,Provoked,AUSTRALIA,New South Wales,Newcastle,Surfing,M,Foot lacerated. Recorded as PROVOKED INCIDENT,N,MAKO SHARK,65.0
1968-12-29,1968.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Port St. John's,Freediving,M,No injury,UNKNOWN,QUESTIONABLE INCIDENT,28.0
1968-11-04,1968.0,Sea Disaster,PAPUA NEW GUINEA,Madang Province,Unknow,Wreck of the Storm King,M,Remains recovered days later from shark,UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,28.0
1968-01-17,1968.0,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Finschafen,Swimming,M,FATAL,Y,UNKNOW,13.0
1968-01-01,1968.0,Unprovoked,COSTA RICA,Limón Province,Parismina,Swimming after his canoe capsized,M,FATAL,Y,UNKNOW,28.0
1967-09-06,1967.0,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,Lambom Island,Spearfishing,M,FATAL,Y,UNKNOW,28.0
1967-08-10,1967.0,Invalid,AUSTRALIA,New South Wales,Jervis Bay,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),M,"Disappeared, no trace of men or equipment, shark attack considered",UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,19.0
1966-12-27,1966.0,Unprovoked,AUSTRALIA,New South Wales,Trial Bay,Spearfishing,M,Right hand lacerated,N,"GREY NURSE SHARK, 1.5 M [5']",19.0
1966-09-27,1966.0,Unprovoked,AUSTRALIA,Queensland,"Broomfield Island, 11 miles from Heron Island on the Great Barrier Reef","Free diving, carrying speargun",M,Shoulder lacerated,N,"BRONZE WHALER SHARK, 2.1 M [7'], A TOOTH WAS EMBEDDED IN THE SPEARGUN",32.0
1966-01-25,1966.0,Sea Disaster,INDONESIA,North Sumatra,Near Belawan,wreck of the State Oil Company ship Permina,M,Sharks said to have killed some of the 80 people lost,Y,UNKNOW,28.0
1965-01-01,1965.0,Unprovoked,VANUATU,Malampa Province,Island of Paam'a,Surfing,M,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence.,Y,UNKNOW,28.0
1964-07-10,1964.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Island Rock,Spearfishing,M,FATAL,Y,UNKNOW,52.0
1963-11-25,1963.0,Unprovoked,FIJI,Vita Levu,Rewa River,Spearing fish,M,Ankle & foot bitten,N,UNKNOW,25.0
1963-01-26,1963.0,Invalid,AUSTRALIA,New South Wales,Evans Head,Swimming,M,"9' shark in area when he disappeared, body not recovered",UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,25.0
1962-06-04,1962.0,Provoked,USA,California,"12' tank at Steinhart Aquarium, San Francisco","Scuba diving, attempting to catch a captive shark",M,Right forearm bitten PROVOKED INCIDENT,N,"SEVENGILL  SHARK, 1.2 M [4']",55.0
1961-08-01,1961.0,Provoked,PAPUA NEW GUINEA,Sandaun Province,Vanimo  on Musu side of Wutong anchorage,"Fishing, two large sharks passed. He speared one and it bit him",M,Thigh lacerated PROVOKED INCIDENT,N,UNKNOW,28.0
1961-03-01,1961.0,Unprovoked,FIJI,"19S, 178?E","Wotua Beach, 70 miles from Suva",Floating on back,M,Right forearm bitten,N,UNKNOW,28.0
1961-01-22,1961.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,M,Left thigh bitten,N,WHITE SHARK,15.0
1961-01-01,1961.0,Unprovoked,COLUMBIA,Roncador Bank,"Roncador Bank, 135 nm north of San Andres",Taking boat from California to Florida when it ran aground & he was swimming back to boat,M,Leg bitten,N,1.8 M [6'] SHARK,28.0
1961-01-01,1961.0,Unprovoked,NEW CALEDONIA,Unknow,Unknow,Spearfishing,M,Arm injured,N,UNKNOW,28.0
1960-08-25,1960.0,Invalid,USA,Texas,30 miles east of Corpus Christi,Aircraft crashed into sea,M,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",UNKNOWN,SHARK INVOLVEMENT PRIOR TO DEATH WAS NOT CONFIRMED,28.0
1960-05-29,1960.0,Unprovoked,PANAMA,San Blas Islands,Off Diable Island,"Spearfishing, free diving, possibly ascended into path of cruising shark",M,Face lacerated,N,UNKNOW,27.0
1960-01-13,1960.0,Provoked,AUSTRALIA,Western Australia,Geraldton,"Fishing, lifting shark out of craypot",M,Upper leg bitten PROVOKED INCIDENT,N,WOBBEGONG SHARK,28.0
1959-12-26,1959.0,Unprovoked,PAPUA NEW GUINEA,Rigo subdistrict,Kaparoka,Swimming underneath house on pilings,M,"FATAL, right leg severed",Y,UNKNOW,13.0
1959-08-30,1959.0,Invalid,AUSTRALIA,Tasmania,Unknow,Swimming,M,No injury,UNKNOWN,INVALID,28.0
1959-07-25,1959.0,Unprovoked,JAPAN,Okayama Prefecture,Ushimado,Surfing,M,"FATAL, right thigh bitten",Y,BLUE SHARK?,22.0
1959-06-26,1959.0,Unprovoked,TURKEY,Mersin Province,Off Mezitli,Surfing,M,Leg injured,N,UNKNOW,28.0
1959-04-05,1959.0,Unprovoked,AUSTRALIA,New South Wales,Thirroul,Spearfishing,M,Swim fin bitten,N,UNKNOW,28.0
1959-03-08,1959.0,Unprovoked,PHILIPPINES,Mindanao,"Mouth of Langoyan River, Davao City",Lifeboat capsized,M,"FATAL, body not recovered",Y,UNKNOW,20.0
1957-08-01,1957.0,Provoked,USA,Florida,"Miami Seaquarium, Virginia Key, Miami, Miami-Dade County",Attempting to net shark in shark channel,M,Legs bitten PROVOKED INCIDENT,N,"2.7 M [9'] BULL SHARK, IDENTIFIED BY CAPT. W. GRAY",28.0
1957-07-24,1957.0,Provoked,USA,California,"La Jolla, San Diego County",Spearfishing on Scuba,M,Diver jabbed shark with spear and it make a threat display. No injury PROVOKED INCIDENT,N,"SAID TO INVOLVE A 1 M  WHITE SHARK, BUT THOUGHT  THAT IT WAS MORE LIKELY A BLUE SHARK",28.0
